Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
2913 N 50TH ST,43.07198515,-87.97642515271895,55399,5650.265154765857,600,6433.681914914137,62,5882.112007419227,1,9898.024971124074,330,6383.479684208723,1445,5679.747407176044
2906-2908 N 50TH ST,39.966219543424494,-75.22034311418774,24583,5675.567237502465,579,5426.590878109119,226,5749.459804095273,4,6383.191735142867,680,5608.1529491193305,1660,5908.359589911609
2908-2910 N 49TH ST,39.961198003399986,-75.21948322875649,24240,5588.751783391921,564,5373.122231287286,223,5680.826515452081,4,6344.954653618968,683,5518.736605207116,1674,5917.852634599348
3003-3005 N 47TH ST,39.96530885943289,-75.21530402375508,24659,5525.670175042492,577,5176.338565496652,228,5764.071177419104,4,6052.587998831656,685,5372.690807055011,1688,5851.327896312564
3029-3031 N 48TH ST,39.96572170061602,-75.2165843740975,24669,5567.475797614354,579,5246.951618063606,227,5750.756426628326,4,6135.256203569563,684,5436.929264097515,1680,5863.395175104848
3025 N 44TH ST,43.07403645,-87.96902721108526,54762,5548.312241445605,591,6185.44113356981,60,5690.448353810934,0,0.0,329,6274.597993785715,1432,5699.550127634272
3015 N 44TH ST,43.0738097,-87.96900792118595,54820,5548.178590026698,591,6171.314052699202,60,5686.429198009233,0,0.0,329,6261.04122806299,1435,5699.127745181689
3003 N 46TH ST,43.0736013,-87.97144279478732,54938,5578.593698807454,591,6258.5042002220325,60,5710.74618433605,0,0.0,330,6326.574289564029,1435,5693.843292814613
2712--A N 44TH ST,43.0682934,-87.96848220599465,56499,5576.901514734791,591,5842.539670662829,62,5739.5741445032,1,9774.512432102947,345,6125.670866503229,1466,5583.110106567122
2728-2730 N 44TH ST,39.96607447493084,-75.21100660538985,24768,5423.862010011037,579,4979.657159632577,232,5832.005674905259,4,5778.851162447159,683,5164.887690514883,1738,5877.229599523454
2738-2740 N 44TH ST,39.96607447493084,-75.21100660538985,24768,5423.862010011037,579,4979.657159632577,232,5832.005674905259,4,5778.851162447159,683,5164.887690514883,1738,5877.229599523454
2745-2747 N 44TH ST,39.96607447493084,-75.21100660538985,24768,5423.862010011037,579,4979.657159632577,232,5832.005674905259,4,5778.851162447159,683,5164.887690514883,1738,5877.229599523454
2749-2751 N 45TH ST,39.96817931629287,-75.21273999722875,24824,5489.60785775345,590,5112.153860543553,233,5862.003539012501,4,5890.080022723197,685,5306.335248007052,1706,5851.944235126212
2704 N 46TH ST,43.0680927,-87.97089109787541,56613,5607.527067233484,596,5967.669792531327,62,5764.866978365792,1,9671.946623355434,344,6172.528041585842,1468,5585.163031231642
2756 N 46TH ST,43.069182749999996,-87.97090994999999,56273,5598.372895164069,592,5998.213498124762,62,5777.71041312001,1,9781.809570562269,337,6150.397999085274,1457,5589.979169325031
2772 N 46TH ST,43.0694939,-87.97087364176471,56206,5597.826689326748,591,6006.375093990484,62,5781.338215477298,1,9814.595563539273,337,6165.645113119259,1452,5585.7750718749085
2719 N 46TH ST,43.068401699999995,-87.97151163550764,56520,5612.1288289837885,596,6009.739709415926,62,5775.095717651392,1,9682.611256341994,339,6150.233960407437,1464,5585.216230243989
2714 N 48TH ST,43.0683035,-87.97339354694569,56591,5639.314398740128,600,6110.644823768597,62,5796.2765612361845,1,9611.369311073651,337,6178.176046583841,1462,5581.864045011383
2728-2730 N 48TH ST,39.96572170061602,-75.2165843740975,24669,5567.475797614354,579,5246.951618063606,227,5750.756426628326,4,6135.256203569563,684,5436.929264097515,1680,5863.395175104848
2734-2736 N 48TH ST,39.96572170061602,-75.2165843740975,24669,5567.475797614354,579,5246.951618063606,227,5750.756426628326,4,6135.256203569563,684,5436.929264097515,1680,5863.395175104848
2879 N 46TH ST,43.07142115,-87.97148390557257,55548,5586.210686667293,590,6130.273468637267,61,5747.285357889724,1,9990.982665890284,333,6240.305729333818,1449,5649.205494912251
2851 N 46TH ST,43.070903,-87.97146121505227,55734,5591.421500240061,591,6107.3825910185415,62,5807.921080631201,1,9938.825131344816,333,6211.60159232155,1450,5632.474219737461
2834-2836 N 47TH ST,39.96530885943289,-75.21530402375508,24659,5525.670175042492,577,5176.338565496652,228,5764.071177419104,4,6052.587998831656,685,5372.690807055011,1688,5851.327896312564
