Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
9327 N SWAN RD,32.25968503261526,-110.89253530507588,27422,6646.550214756996,151,6186.8736071610665,13,4750.938578975169,4,5044.844664379157,119,6822.354355844063,292,7082.895520833483
9411 W COUNTY LINE RD,43.1919071,-88.02805578577218,8597,7278.6982675551,59,7464.160390044323,24,6779.871781243859,1,5568.951666587871,31,7935.2823385721285,175,7738.078903218972
9322 N JOYCE AV,43.1865554,-88.01748091216223,10505,7259.967246907027,62,6930.51174329096,24,6699.479533211626,1,4673.35179586772,33,8143.825682860189,194,7675.648720602977
9360 N 85TH ST,43.1879542,-88.01558125,10217,7273.215906161908,63,6929.61743659872,23,6628.235132845231,1,4522.94277090651,32,8093.925611891502,188,7662.9765837195755
9305 N BURBANK AV,43.187111200000004,-88.01500485174537,10452,7261.488521497969,64,6926.658147054549,24,6747.941479579731,1,4473.037705847295,33,8159.046175894545,192,7668.564199651836
9217 N 83RD ST,43.18648225,-88.01359598602212,10684,7255.992187147192,64,6841.550909079957,24,6744.762573828201,1,4357.47749354384,33,8171.115644366167,194,7655.637986619363
"9192 N 70TH ST, Unit 2",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
"9212 N 70TH ST, Unit 8",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
"9242 N 70TH ST, Unit 2",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
"9238 N 70TH ST, Unit 4",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
"9230 N 70TH ST, Unit 8",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
"9258 N 70TH ST, Unit 1",40.26890535,-76.76747209999999,3036,7190.354427589732,54,7490.4715762488995,21,6611.041532937924,1,6865.737130717413,82,7532.786786576358,186,6850.938494468976
