Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
1573 S 3RD ST,43.01449395,-87.91426327554899,49952,5890.962271637101,556,4305.26683202169,50,5523.969986986049,1,9061.681657486153,336,4325.467779313105,1195,5149.743535380084
2214 S WOODWARD ST,43.004267049999996,-87.9001797625742,44338,6147.524609920559,534,5229.557918761336,42,5571.051211937605,1,9898.773193695277,316,4726.677840988975,1072,5668.8971074869805
2200-2202 S WINCHESTER ST,43.00417670633851,-87.90153691629335,44668,6129.651763262495,537,5232.28041940235,42,5531.252822721937,1,9788.05906571469,320,4759.852515288316,1092,5695.351849285002
2224-2226 S WINCHESTER ST,43.00417670633851,-87.90153691629335,44668,6129.651763262495,537,5232.28041940235,42,5531.252822721937,1,9788.05906571469,320,4759.852515288316,1092,5695.351849285002
616-620 E LINCOLN AV,40.0750112,-83.0059349,12105,7087.643475286383,119,7116.524728062904,34,5678.9216846172585,4,7494.596052480394,304,7129.668665701058,706,6838.143763573345
2201 S ALLIS ST,43.0045004,-87.90437779984403,45562,6099.009716936353,551,5262.278157094905,44,5637.142639918855,1,9566.558434207958,326,4768.152384578774,1130,5708.355586082619
332 E ARCHER AV,43.0053312,-87.90512025000001,45956,6084.515279829754,551,5173.628670645582,44,5583.838604706915,1,9524.411813416502,327,4725.169016227436,1142,5682.591873369607
2123 S MOUND ST,43.0053289,-87.90300882455716,45348,6104.818579815734,542,5139.674554212117,43,5544.405189621986,1,9693.341912229766,326,4759.16193400901,1116,5669.638635846832
2147 S MOUND ST,43.004838750000005,-87.90301942431421,45241,6108.670063663496,550,5253.717091639479,43,5563.745411669055,1,9682.32481091343,326,4783.587877971069,1115,5689.756878223995
2151 S MOUND ST,43.004763049999994,-87.90304852965738,45248,6110.347696836541,550,5259.710581981902,44,5666.916932285522,1,9678.447785911985,326,4786.711537414949,1116,5696.224211561428
2222 S ALLIS ST,43.004084500000005,-87.90387795562353,45342,6108.769600145644,551,5309.710436432636,44,5667.907471206342,1,9598.350998981326,325,4785.7168714275185,1125,5730.761171787848
2210 S ALLIS ST,43.004330100000004,-87.90387131264053,45375,6104.928801196528,551,5288.150340218711,44,5658.617687550472,1,9603.748486019906,326,4788.864441924523,1125,5718.567235065751
2253 S WINCHESTER ST,43.00351565,-87.90177387398704,44596,6133.319118827397,539,5304.259989073003,43,5653.103367220138,1,9756.46275155157,318,4755.550262678123,1089,5707.3258854962705
530 E LINCOLN AV,40.9176264,-73.8200029,14244,6543.763394537452,163,7511.205571954146,203,6176.441295880551,8,6230.75241117227,279,6816.368261034844,972,6995.043399728359
2232 S MOUND ST,43.00388035,-87.90252527504006,44941,6126.628601612449,549,5340.840145853566,43,5616.253609937365,1,9702.981036741901,323,4798.065696951578,1097,5688.513662986098
"306 E LINCOLN AV, Unit 4",41.28988010853841,-70.09985104576303,756,2693.3010286925105,7,2369.62482589025,3,2030.6104667988739,0,0.0,7,1345.483632878047,14,1041.2245486654913
"314 E LINCOLN AV, Unit 11",41.28988010853841,-70.09985104576303,756,2693.3010286925105,7,2369.62482589025,3,2030.6104667988739,0,0.0,7,1345.483632878047,14,1041.2245486654913
"2255 S ALLIS ST, Unit 1A",34.539978859906746,-91.96813494836324,9,978.5755638431817,0,0.0,6,4050.6939432956847,0,0.0,0,0.0,1,3794.9822517184075
